,Radix Sort(Base 10), Radix Sort(Base 2^16), Merge Sort, Shell Sort, Shell Sort(Knuth), Heap Sort, Quick Sort(randomized), Quick Sort(median of 3), STL Sort
10000000,7214709,1168829,6334063,8123314,8088369,8185113,3279231,3934480,3328099
15000000,10697420,1761269,9529519,13934738,12943488,14607895,5163123,6176439,5253928
20000000,14353653,2341711,13127902,19398215,18715941,20314650,6992316,8413447,7214746
25000000,18857586,3273230,16504034,24058670,26904062,33083603,9555447,10978793,8766557
30000000,22648441,3737007,20239881,31548643,30839527,30952238,10734299,12907486,10690414
35000000,25864850,4248686,23340760,38386359,36561930,36985897,12810745,15026820,12751906
40000000,29528020,4902891,26799786,46290121,44228738,44307575,14464810,17212987,14613925
45000000,33998094,5683804,30842532,50050200,49314141,48160346,15754874,19287427,16307395
50000000,37209046,6024889,33359799,56273532,54063443,54915179,17850271,21605230,18297074
55000000,41073335,7355278,37236460,67208296,62338606,60700035,19970627,24104551,20467302
60000000,45437879,7632755,40422015,70674036,73993986,76807279,24218657,27121903,22596114
65000000,48298856,8490298,44902180,84007302,81413017,77145258,23647768,28607144,24048696
70000000,51854288,8696747,48333278,86886187,85486423,83078861,25925677,31067096,26622813
75000000,58456451,11738614,54725730,95495658,91820484,90484782,26696617,32883075,27738919
80000000,59001239,9894544,54911658,102022148,98319204,97613377,29021401,34799948,29686622
85000000,63019456,10765226,58701189,108903842,112194777,104326808,31878821,38187929,31953425
90000000,67264183,11829352,62529654,121943044,111335017,112943398,33261562,39823566,34252296
95000000,70274535,11811574,66060632,115846710,126846087,116553458,35979796,43012699,36169227
100000000,74604203,12714067,69899101,129984379,128544911,123791011,36489427,44923959,38179625
